tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-560,US Open,Hard,128.0,G,20000828.0,1.0,101736.0,1.0,,Andre Agassi,R,180.0,USA,30.3326488706,1.0,3754.0,103297.0,,WC,Alex Kim,R,175.0,USA,21.6892539357,432.0,53.0,6-4 6-2 6-0,5.0,R128,89.0,8.0,4.0,80.0,50.0,37.0,16.0,12.0,2.0,3.0,3.0,8.0,90.0,52.0,30.0,13.0,12.0,5.0,12.0
2000-560,US Open,Hard,128.0,G,20000828.0,2.0,103096.0,,,Arnaud Clement,R,173.0,FRA,22.6967830253,37.0,928.0,103292.0,,,Gaston Gaudio,R,175.0,ARG,21.7193702943,26.0,1067.0,6-3 6-4 6-2,5.0,R128,105.0,11.0,5.0,92.0,58.0,44.0,16.0,14.0,2.0,3.0,5.0,4.0,84.0,53.0,34.0,12.0,13.0,7.0,12.0
2000-560,US Open,Hard,128.0,G,20000828.0,3.0,102271.0,,,Hicham Arazi,L,175.0,MAR,26.8583162218,41.0,889.0,103082.0,,,Markus Hantschk,R,188.0,GER,22.7734428474,92.0,448.0,6-3 6-0 4-6 6-7(3) 6-4,5.0,R128,214.0,15.0,3.0,147.0,87.0,61.0,28.0,24.0,8.0,13.0,7.0,3.0,167.0,95.0,58.0,32.0,23.0,10.0,19.0
2000-560,US Open,Hard,128.0,G,20000828.0,4.0,101965.0,,,Wayne Ferreira,R,185.0,RSA,28.9527720739,21.0,1227.0,102776.0,,,Andrew Ilie,R,180.0,AUS,24.3613963039,51.0,794.0,6-3 2-6 6-4 6-1,5.0,R128,116.0,11.0,3.0,95.0,49.0,39.0,19.0,17.0,5.0,10.0,7.0,7.0,103.0,61.0,41.0,13.0,17.0,5.0,13.0
2000-560,US Open,Hard,128.0,G,20000828.0,5.0,103324.0,,,Arnaud Di Pasquale,R,185.0,FRA,21.5441478439,63.0,642.0,102735.0,,Q,Cedric Kauffmann,R,,FRA,24.4928131417,311.0,98.0,6-4 6-4 4-6 6-3,5.0,R128,147.0,8.0,6.0,118.0,63.0,48.0,30.0,20.0,2.0,5.0,3.0,4.0,131.0,93.0,57.0,19.0,19.0,7.0,12.0
2000-560,US Open,Hard,128.0,G,20000828.0,6.0,102318.0,,,Andrei Pavel,R,183.0,ROU,26.5845311431,35.0,945.0,103894.0,,WC,Phillip King,R,175.0,USA,18.6913073238,312.0,96.0,6-3 6-4 6-3,5.0,R128,89.0,5.0,3.0,74.0,37.0,27.0,26.0,14.0,2.0,4.0,5.0,2.0,83.0,36.0,22.0,24.0,14.0,4.0,10.0
2000-560,US Open,Hard,128.0,G,20000828.0,7.0,102259.0,,,Jerome Golmard,L,188.0,FRA,26.9678302533,48.0,813.0,102286.0,,Q,Wayne Black,R,170.0,ZIM,26.7871321013,118.0,332.0,6-2 6-2 6-2,5.0,R128,87.0,12.0,4.0,61.0,34.0,30.0,17.0,12.0,0.0,1.0,4.0,2.0,77.0,26.0,19.0,17.0,12.0,7.0,14.0
2000-560,US Open,Hard,128.0,G,20000828.0,8.0,102839.0,16.0,,Nicolas Lapentti,R,188.0,ECU,24.0410677618,16.0,1389.0,103184.0,,WC,Bob Bryan,L,193.0,USA,22.3326488706,129.0,300.0,7-5 6-4 7-6(4),5.0,R128,136.0,20.0,4.0,122.0,81.0,66.0,18.0,17.0,3.0,3.0,8.0,2.0,99.0,61.0,41.0,27.0,17.0,3.0,5.0
2000-560,US Open,Hard,128.0,G,20000828.0,9.0,103720.0,9.0,,Lleyton Hewitt,R,180.0,AUS,19.5071868583,9.0,2036.0,103714.0,,,Andreas Vinciguerra,L,180.0,SWE,19.5208761123,43.0,868.0,2-6 7-5 6-3 6-3,5.0,R128,181.0,17.0,7.0,125.0,56.0,45.0,30.0,19.0,9.0,14.0,6.0,4.0,124.0,60.0,38.0,31.0,19.0,11.0,18.0
2000-560,US Open,Hard,128.0,G,20000828.0,10.0,102369.0,,,Julien Boutter,R,190.0,FRA,26.3983572895,101.0,395.0,101902.0,,,Stephane Huet,L,180.0,FRA,29.3442847365,98.0,410.0,7-6(3) 6-3 6-0,5.0,R128,126.0,18.0,7.0,84.0,39.0,34.0,23.0,13.0,4.0,6.0,5.0,3.0,110.0,55.0,33.0,22.0,14.0,10.0,17.0
